name,seed,trial,write_prop,time,size
outplace_b8,1,0,0,96,3440
outplace_b16,1,0,0,96,3440
outplace_b32,1,0,0,96,3440
outplace_b64,1,0,0,102,3440
outplace_b128,1,0,0,96,3440
outplace_b256,1,0,0,82,3440
outplace_b8,1,0,0.1,2847,6136
outplace_b16,1,0,0.1,1491,8136
outplace_b32,1,0,0.1,786,13072
outplace_b64,1,0,0.1,444,21872
outplace_b128,1,0,0.1,268,29976
outplace_b256,1,0,0.1,174,74360
outplace_b8,1,0,0.2,6148,5688
outplace_b16,1,0,0.2,3218,8688
outplace_b32,1,0,0.2,1649,12232
outplace_b64,1,0,0.2,906,21392
outplace_b128,1,0,0.2,535,39584
outplace_b256,1,0,0.2,315,75024
outplace_b8,1,0,0.3,8524,7296
outplace_b16,1,0,0.3,4441,9848
outplace_b32,1,0,0.3,2251,11280
outplace_b64,1,0,0.3,1160,21392
outplace_b128,1,0,0.3,654,40368
outplace_b256,1,0,0.3,382,81504
outplace_b8,1,0,0.4,11836,7408
outplace_b16,1,0,0.4,6132,8712
outplace_b32,1,0,0.4,2996,12760
outplace_b64,1,0,0.4,1623,21792
outplace_b128,1,0,0.4,963,40832
outplace_b256,1,0,0.4,551,72872
outplace_b8,2,0,0,105,2880
outplace_b16,2,0,0,106,2880
outplace_b32,2,0,0,106,2880
outplace_b64,2,0,0,95,2880
outplace_b128,2,0,0,94,2880
outplace_b256,2,0,0,107,2880
outplace_b8,2,0,0.1,3618,5904
outplace_b16,2,0,0.1,1875,6824
outplace_b32,2,0,0.1,939,9128
outplace_b64,2,0,0.1,515,16840
outplace_b128,2,0,0.1,297,32776
outplace_b256,2,0,0.1,195,57768
outplace_b8,2,0,0.2,6579,5888
outplace_b16,2,0,0.2,3458,7552
outplace_b32,2,0,0.2,1821,9968
outplace_b64,2,0,0.2,904,20272
outplace_b128,2,0,0.2,501,31008
outplace_b256,2,0,0.2,309,56008
outplace_b8,2,0,0.3,9006,7536
outplace_b16,2,0,0.3,4631,9976
outplace_b32,2,0,0.3,2403,14040
outplace_b64,2,0,0.3,1244,22800
outplace_b128,2,0,0.3,700,37400
outplace_b256,2,0,0.3,416,67360
outplace_b8,2,0,0.4,12370,6632
outplace_b16,2,0,0.4,6832,7936
outplace_b32,2,0,0.4,3685,13088
outplace_b64,2,0,0.4,1980,21520
outplace_b128,2,0,0.4,1038,37064
outplace_b256,2,0,0.4,581,67136
outplace_b8,3,0,0,105,3120
outplace_b16,3,0,0,95,3120
outplace_b32,3,0,0,107,3120
outplace_b64,3,0,0,88,3120
outplace_b128,3,0,0,91,3120
outplace_b256,3,0,0,94,3120
outplace_b8,3,0,0.1,3774,5568
outplace_b16,3,0,0.1,1894,7208
outplace_b32,3,0,0.1,1057,11296
outplace_b64,3,0,0.1,550,17864
outplace_b128,3,0,0.1,321,24920
outplace_b256,3,0,0.1,251,59592
outplace_b8,3,0,0.2,6863,6296
outplace_b16,3,0,0.2,3703,8104
outplace_b32,3,0,0.2,1815,10664
outplace_b64,3,0,0.2,1019,21816
outplace_b128,3,0,0.2,592,35688
outplace_b256,3,0,0.2,374,69792
outplace_b8,3,0,0.3,9736,6304
outplace_b16,3,0,0.3,4927,8432
outplace_b32,3,0,0.3,2455,13672
outplace_b64,3,0,0.3,1348,17784
outplace_b128,3,0,0.3,789,31464
outplace_b256,3,0,0.3,443,70576
outplace_b8,3,0,0.4,12817,7048
outplace_b16,3,0,0.4,6567,9008
outplace_b32,3,0,0.4,3333,13040
outplace_b64,3,0,0.4,1786,23192
outplace_b128,3,0,0.4,908,32864
outplace_b256,3,0,0.4,523,77608
outplace_b8,1,1,0,83,3440
outplace_b16,1,1,0,85,3440
outplace_b32,1,1,0,82,3440
outplace_b64,1,1,0,81,3440
outplace_b128,1,1,0,81,3440
outplace_b256,1,1,0,84,3440
outplace_b8,1,1,0.1,2756,6544
outplace_b16,1,1,0.1,1425,7640
outplace_b32,1,1,0.1,778,11088
outplace_b64,1,1,0.1,428,17832
outplace_b128,1,1,0.1,255,38584
outplace_b256,1,1,0.1,173,69208
outplace_b8,1,1,0.2,6085,6272
outplace_b16,1,1,0.2,2995,8288
outplace_b32,1,1,0.2,1552,14280
outplace_b64,1,1,0.2,876,19984
outplace_b128,1,1,0.2,487,33376
outplace_b256,1,1,0.2,289,64616
outplace_b8,1,1,0.3,8388,8048
outplace_b16,1,1,0.3,4231,10768
outplace_b32,1,1,0.3,2221,15448
outplace_b64,1,1,0.3,1156,21736
outplace_b128,1,1,0.3,630,45912
outplace_b256,1,1,0.3,384,62624
outplace_b8,1,1,0.4,11269,7136
outplace_b16,1,1,0.4,5803,10880
outplace_b32,1,1,0.4,2968,14384
outplace_b64,1,1,0.4,1537,22800
outplace_b128,1,1,0.4,848,33888
outplace_b256,1,1,0.4,489,65400
outplace_b8,2,1,0,88,2880
outplace_b16,2,1,0,82,2880
outplace_b32,2,1,0,79,2880
outplace_b64,2,1,0,82,2880
outplace_b128,2,1,0,80,2880
outplace_b256,2,1,0,81,2880
outplace_b8,2,1,0.1,3074,5320
outplace_b16,2,1,0.1,1599,6680
outplace_b32,2,1,0.1,858,11640
outplace_b64,2,1,0.1,481,20304
outplace_b128,2,1,0.1,285,35032
outplace_b256,2,1,0.1,201,44408
outplace_b8,2,1,0.2,6699,5640
outplace_b16,2,1,0.2,3164,6944
outplace_b32,2,1,0.2,1661,10920
outplace_b64,2,1,0.2,869,19288
outplace_b128,2,1,0.2,489,35152
outplace_b256,2,1,0.2,301,42008
outplace_b8,2,1,0.3,9185,6576
outplace_b16,2,1,0.3,4705,8424
outplace_b32,2,1,0.3,2378,13344
outplace_b64,2,1,0.3,1275,21216
outplace_b128,2,1,0.3,696,37872
outplace_b256,2,1,0.3,409,75632
outplace_b8,2,1,0.4,11986,8312
outplace_b16,2,1,0.4,6221,9368
outplace_b32,2,1,0.4,3200,12544
outplace_b64,2,1,0.4,1654,21120
outplace_b128,2,1,0.4,903,41784
outplace_b256,2,1,0.4,537,83360
outplace_b8,3,1,0,80,3120
outplace_b16,3,1,0,79,3120
outplace_b32,3,1,0,81,3120
outplace_b64,3,1,0,80,3120
outplace_b128,3,1,0,79,3120
outplace_b256,3,1,0,79,3120
outplace_b8,3,1,0.1,3381,6848
outplace_b16,3,1,0.1,1806,8416
outplace_b32,3,1,0.1,963,11408
outplace_b64,3,1,0.1,553,14744
outplace_b128,3,1,0.1,313,19400
outplace_b256,3,1,0.1,200,51624
outplace_b8,3,1,0.2,5852,7696
outplace_b16,3,1,0.2,2996,11048
outplace_b32,3,1,0.2,1558,16240
outplace_b64,3,1,0.2,807,21440
outplace_b128,3,1,0.2,492,33648
outplace_b256,3,1,0.2,298,49128
outplace_b8,3,1,0.3,9414,6744
outplace_b16,3,1,0.3,4862,9000
outplace_b32,3,1,0.3,2533,12184
outplace_b64,3,1,0.3,1313,20360
outplace_b128,3,1,0.3,731,35792
outplace_b256,3,1,0.3,420,78176
outplace_b8,3,1,0.4,12157,7840
outplace_b16,3,1,0.4,6249,10424
outplace_b32,3,1,0.4,3162,15232
outplace_b64,3,1,0.4,1662,21248
outplace_b128,3,1,0.4,907,35784
outplace_b256,3,1,0.4,517,75168
