name,seed,trial,write_prop,time,size
inplace_n0,1,0,0,342,1920
inplace_n4,1,0,0,329,1920
outplace_n0,1,0,0,271,1920
outplace_n4,1,0,0,264,1920
inplace_n0,1,0,0.1,4794,1920
inplace_n4,1,0,0.1,5110,1920
outplace_n0,1,0,0.1,1474,51736
outplace_n4,1,0,0.1,1763,18360
inplace_n0,1,0,0.2,12744,1920
inplace_n4,1,0,0.2,13368,1920
outplace_n0,1,0,0.2,2127,83672
outplace_n4,1,0,0.2,3318,16704
inplace_n0,1,0,0.3,22956,1920
inplace_n4,1,0,0.3,22558,1920
outplace_n0,1,0,0.3,2515,145600
outplace_n4,1,0,0.3,4730,14792
inplace_n0,2,0,0,243,1680
inplace_n4,2,0,0,244,1680
outplace_n0,2,0,0,244,1680
outplace_n4,2,0,0,243,1680
inplace_n0,2,0,0.1,3498,1680
inplace_n4,2,0,0.1,3487,1680
outplace_n0,2,0,0.1,1279,49872
outplace_n4,2,0,0.1,1879,9304
inplace_n0,2,0,0.2,9460,1680
inplace_n4,2,0,0.2,9425,1680
outplace_n0,2,0,0.2,2054,96504
outplace_n4,2,0,0.2,3616,13184
inplace_n0,2,0,0.3,19410,1680
inplace_n4,2,0,0.3,18585,1680
outplace_n0,2,0,0.3,2844,100416
outplace_n4,2,0,0.3,5237,15616
inplace_n0,3,0,0,220,1680
inplace_n4,3,0,0,239,1680
outplace_n0,3,0,0,239,1680
outplace_n4,3,0,0,239,1680
inplace_n0,3,0,0.1,3426,1680
inplace_n4,3,0,0.1,3435,1680
outplace_n0,3,0,0.1,1230,52544
outplace_n4,3,0,0.1,1829,12112
inplace_n0,3,0,0.2,9364,1680
inplace_n4,3,0,0.2,9339,1680
outplace_n0,3,0,0.2,2087,84800
outplace_n4,3,0,0.2,3599,8984
inplace_n0,3,0,0.3,18823,1680
inplace_n4,3,0,0.3,18249,1680
outplace_n0,3,0,0.3,2837,126896
outplace_n4,3,0,0.3,5349,13352
