name,seed,trial,write_prop,time,size
outplace_n0,1,0,0,4012,16240
outplace_n4,1,0,0,3577,16240
outplace_n0,1,0,0.1,14064,578904
outplace_n4,1,0,0.1,21517,137544
outplace_n0,1,0,0.2,22848,900760
outplace_n4,1,0,0.2,39459,146912
outplace_n0,1,0,0.3,33248,1150248
outplace_n4,1,0,0.3,59196,138280
outplace_n0,2,0,0,4029,16160
outplace_n4,2,0,0,4041,16160
outplace_n0,2,0,0.1,14397,567288
outplace_n4,2,0,0.1,21164,137824
outplace_n0,2,0,0.2,23756,772064
outplace_n4,2,0,0.2,41845,121704
outplace_n0,2,0,0.3,32138,1184264
outplace_n4,2,0,0.3,58024,155752
outplace_n0,3,0,0,4067,16560
outplace_n4,3,0,0,4085,16560
outplace_n0,3,0,0.1,14614,517872
outplace_n4,3,0,0.1,21264,119864
outplace_n0,3,0,0.2,23771,834936
outplace_n4,3,0,0.2,38518,133320
outplace_n0,3,0,0.3,32778,1151680
outplace_n4,3,0,0.3,56390,144432
outplace_n0,1,1,0,4009,16240
outplace_n4,1,1,0,4026,16240
outplace_n0,1,1,0.1,14101,567008
outplace_n4,1,1,0.1,20993,123144
outplace_n0,1,1,0.2,22762,913272
outplace_n4,1,1,0.2,38258,153272
outplace_n0,1,1,0.3,30932,1160256
outplace_n4,1,1,0.3,58955,159968
outplace_n0,2,1,0,4356,16160
outplace_n4,2,1,0,4041,16160
outplace_n0,2,1,0.1,14701,524576
outplace_n4,2,1,0.1,22065,126584
outplace_n0,2,1,0.2,23257,879728
outplace_n4,2,1,0.2,39414,133512
outplace_n0,2,1,0.3,32686,1186936
outplace_n4,2,1,0.3,56127,162960
outplace_n0,3,1,0,4077,16560
outplace_n4,3,1,0,4082,16560
outplace_n0,3,1,0.1,14727,540024
outplace_n4,3,1,0.1,21016,126048
outplace_n0,3,1,0.2,23437,891008
outplace_n4,3,1,0.2,38167,128112
outplace_n0,3,1,0.3,32382,1196352
outplace_n4,3,1,0.3,57195,151248
outplace_n0,1,2,0,4047,16240
outplace_n4,1,2,0,4029,16240
outplace_n0,1,2,0.1,13821,529888
outplace_n4,1,2,0.1,21261,117912
outplace_n0,1,2,0.2,23128,881688
outplace_n4,1,2,0.2,39860,139704
outplace_n0,1,2,0.3,30345,1305976
outplace_n4,1,2,0.3,56929,144496
outplace_n0,2,2,0,4058,16160
outplace_n4,2,2,0,4068,16160
outplace_n0,2,2,0.1,14709,536672
outplace_n4,2,2,0.1,21465,124048
outplace_n0,2,2,0.2,23342,882240
outplace_n4,2,2,0.2,38820,129688
outplace_n0,2,2,0.3,31415,1236768
outplace_n4,2,2,0.3,56390,144296
outplace_n0,3,2,0,4081,16560
outplace_n4,3,2,0,4088,16560
outplace_n0,3,2,0.1,14544,499568
outplace_n4,3,2,0.1,21640,135512
outplace_n0,3,2,0.2,23564,890800
outplace_n4,3,2,0.2,38015,148336
outplace_n0,3,2,0.3,32430,1115488
outplace_n4,3,2,0.3,56868,144048
