name,data_size,seed,run,tree_shape,read_profile,split_history
out_place_n0,1000000,1,0,597#15#1,10000#0#0,@,
out_place_n0,1100000,1,0,685#29#1,20000#0#0,44#33#7@298837#2593#168,
out_place_n0,1200000,1,0,960#58#7#1,30000#0#0,218#161#25#4@1083167#10021#781#26,
out_place_n0,1300000,1,0,1196#86#10#1,39949#0#51,383#270#39#7@1755081#15665#1110#56,
out_place_n0,1400000,1,0,1420#112#16#1,49918#0#82,549#373#52#11@2417689#20109#1433#114,
out_place_n0,1500000,1,0,1650#146#18#1,59890#0#110,716#480#72#13@3066782#23884#1929#151,
out_place_n0,1600000,1,0,1852#181#20#2#1,69715#0#285,874#573#93#15@3673387#26819#2525#191,
out_place_n0,1700000,1,0,2038#206#23#3#1,79520#0#480,1027#660#109#17#1@4234704#29460#3055#217#4,
out_place_n0,1800000,1,0,2212#224#23#3#1,89292#0#708,1185#744#122#17#1@4805099#31917#3484#217#4,
out_place_n0,1900000,1,0,2410#241#26#3#1,99030#0#970,1367#842#132#19#1@5416420#34376#3841#243#4,
out_place_n0,2000000,1,0,2566#255#30#3#1,108768#0#1232,1524#917#142#22#1@5939459#36531#4123#280#4,
out_place_n2,1000000,1,0,597#15#1,10000#0#0,@,
out_place_n2,1100000,1,0,653#14#1,20000#0#0,40#39#33@409010#8584#442,
out_place_n2,1200000,1,0,719#20#1,30000#0#0,158#152#135@1280527#30251#2209,
out_place_n2,1300000,1,0,804#20#1,40000#0#0,293#279#250@2348516#53819#4512,
out_place_n2,1400000,1,0,892#24#1,49930#0#70,401#383#341@3190528#74619#6471,
out_place_n2,1500000,1,0,993#27#1,59859#0#141,524#502#451@4167318#96878#9032,
out_place_n2,1600000,1,0,1069#31#1,69825#0#175,629#603#545@4957819#115684#11484,
out_place_n2,1700000,1,0,1151#29#1,79787#0#213,760#727#657@5933414#136428#14884,
out_place_n2,1800000,1,0,1232#22#1#1,89760#0#240,868#827#753@6740336#153405#17799,
out_place_n2,1900000,1,0,1302#28#1#1,99729#0#271,998#951#868#11@7672298#177335#21159#44,
out_place_n2,2000000,1,0,1380#43#1#1,109697#0#303,1115#1064#977#16@8522949#194501#25414#66,
out_place_n8,1000000,1,0,597#15#1,10000#0#0,@,
out_place_n8,1100000,1,0,643#15#1,20000#0#0,27#27#27@766433#14894#364,
out_place_n8,1200000,1,0,696#15#1,30000#0#0,74#74#74@2078689#45224#935,
