name,data_size,seed,run,tree_shape,read_profile,split_history
out_place_n8,1300000,1,0,780#19#1,40000#0#0,131#131#131@3663370#79214#1936,
out_place_n8,1400000,1,0,845#17#1,50000#0#0,184#184#184@5070283#113786#2859,
out_place_n8,1500000,1,0,907#18#1,60000#0#0,234#234#234@6450350#148556#3766,
out_place_n8,1600000,1,0,991#19#1,70000#0#0,289#289#289@7861953#186120#4819,
out_place_n8,1700000,1,0,1054#19#1,80000#0#0,336#336#336@9016074#218155#5744,
out_place_n8,1800000,1,0,1108#18#1,90000#0#0,385#384#384@10250143#254704#6651,
out_place_n8,1900000,1,0,1178#21#1,100000#0#0,437#436#436@11566614#294005#7662,
out_place_n8,2000000,1,0,1222#23#1,110000#0#0,479#478#478@12668611#322974#8703,
out_place_n0,1000000,2,0,575#9#1,10000#0#0,@,
out_place_n0,1100000,2,0,643#17#1,20000#0#0,37#27#4@254326#3629#60,
out_place_n0,1200000,2,0,922#61#9#1,29964#0#36,224#157#30#5@1104860#12722#547#38,
out_place_n0,1300000,2,0,1156#98#20#5#1,39533#0#467,393#262#52#14#3@1811140#17827#992#170#15,
out_place_n0,1400000,2,0,1376#125#26#8#1,48960#0#1040,555#366#69#18#6@2489486#22049#1290#239#39,
out_place_n0,1500000,2,0,1564#145#30#10#1,58816#0#1184,719#456#83#22#8@3102007#25498#1519#313#60,
out_place_n0,1600000,2,0,1755#176#39#15#1,68728#0#1272,886#547#101#29#13@3773468#29256#1803#415#130,
out_place_n0,1700000,2,0,1941#193#41#16#1,78292#0#1708,1059#636#113#31#14@4421856#32030#1992#439#147,
out_place_n0,1800000,2,0,2125#216#43#16#1,87003#0#2997,1228#723#129#32#14@5004562#34438#2211#449#147,
out_place_n0,1900000,2,0,2316#235#43#16#1,95661#0#4339,1391#814#143#32#14@5573032#36520#2480#449#147,
out_place_n0,2000000,2,0,2506#248#43#16#1,104073#0#5927,1559#900#152#32#14@6121270#38857#2674#449#147,
out_place_n2,1000000,2,0,575#9#1,10000#0#0,@,
out_place_n2,1100000,2,0,606#8#1,20000#0#0,36#34#30@357030#7244#350,
out_place_n2,1200000,2,0,709#15#1,30000#0#0,166#161#137@1442773#32987#1961,
out_place_n2,1300000,2,0,792#13#1,40000#0#0,282#268#231@2370720#53727#3548,
out_place_n2,1400000,2,0,857#23#1,49993#0#7,400#379#333@3297053#75412#5614,
out_place_n2,1500000,2,0,947#33#1,59963#0#37,512#487#429@4208716#91809#8139,
out_place_n2,1600000,2,0,1019#30#1#1,69937#0#63,631#593#527#1@5152382#108022#11041#3,
out_place_n2,1700000,2,0,1048#34#1#1,79878#0#122,743#695#621#5@6041426#123134#13884#15,
out_place_n2,1800000,2,0,1165#34#3#1,89844#0#156,883#828#740#19@7170564#143668#17953#69,
out_place_n2,1900000,2,0,1266#41#1#1,99811#0#189,988#929#833#21@8002470#158295#21682#76,
out_place_n2,2000000,2,0,1331#36#5#1,109754#0#246,1099#1033#924#53@8854349#175898#24962#213,
out_place_n8,1000000,2,0,575#9#1,10000#0#0,@,
out_place_n8,1100000,2,0,633#9#1,20000#0#0,25#25#25@773091#14566#238,
out_place_n8,1200000,2,0,677#11#1,30000#0#0,70#70#70@2031483#40756#787,
out_place_n8,1300000,2,0,747#17#1,40000#0#0,125#125#125@3594243#73613#1559,
out_place_n8,1400000,2,0,804#19#1,50000#0#0,176#176#176@5013280#100103#2532,
out_place_n8,1500000,2,0,874#17#1,60000#0#0,230#230#230@6407844#128755#3603,
out_place_n8,1600000,2,0,918#15#1,70000#0#0,279#279#279@7798518#158147#4482,
out_place_n8,1700000,2,0,974#21#1,80000#0#0,336#336#336@9317495#190763#5691,
out_place_n8,1800000,2,0,1014#23#1,90000#0#0,382#382#382@10585409#216834#6819,
out_place_n8,1900000,2,0,1104#22#1,100000#0#0,429#429#429@11933913#248363#7780,
out_place_n8,2000000,2,0,1214#22#1,110000#0#0,479#479#479@13380912#282652#8959,
out_place_n0,1000000,3,0,603#11#1,10000#0#0,@,
out_place_n0,1100000,3,0,659#13#1,19961#0#39,32#24#1@227657#2578#14,
out_place_n0,1200000,3,0,961#65#3#1,29877#0#123,217#160#28@1064180#13438#888,
out_place_n0,1300000,3,0,1189#91#3#1,39752#0#248,383#261#42@1751319#17301#1403,
out_place_n0,1400000,3,0,1404#122#8#1,49559#0#441,545#363#61#3@2381864#20874#2053#22,
out_place_n0,1500000,3,0,1612#138#15#1,59368#0#632,725#459#71#7@3053408#24385#2391#76,
out_place_n0,1600000,3,0,1816#166#21#7#1,69166#0#834,883#551#91#12#3@3639069#27272#3040#162#21,
out_place_n0,1700000,3,0,1992#192#22#8#1,78940#0#1060,1043#634#107#13#4@4187590#29750#3549#177#30,
out_place_n0,1800000,3,0,2164#211#22#8#1,88493#0#1507,1203#715#121#13#4@4756338#32118#4049#177#30,
out_place_n0,1900000,3,0,2337#234#35#11#1,98041#0#1959,1369#798#138#22#7@5290422#34259#4822#259#63,
out_place_n0,2000000,3,0,2510#254#40#12#1,107517#0#2483,1540#882#149#26#8@5851900#36606#5091#319#76,
out_place_n2,1000000,3,0,603#11#1,10000#0#0,@,
out_place_n2,1100000,3,0,634#7#1,20000#0#0,31#30#27@300963#5974#346,
out_place_n2,1200000,3,0,735#23#1,30000#0#0,166#159#146@1343567#29424#2586,
out_place_n2,1300000,3,0,816#20#1,39992#0#8,278#262#238@2204919#48977#4314,
out_place_n2,1400000,3,0,895#18#1,49967#0#33,406#381#343@3175370#69770#6728,
out_place_n2,1500000,3,0,966#31#1,59942#0#58,527#495#449@4123304#90060#9314,
out_place_n2,1600000,3,0,1075#26#1,69916#0#84,645#608#551@5053581#108389#12073,
out_place_n2,1700000,3,0,1119#33#3#1,79896#0#104,747#706#642#3@5803707#125567#14938#12,
out_place_n2,1800000,3,0,1200#28#3#1,89870#0#130,882#830#748#24@6811380#145194#18323#109,
out_place_n2,1900000,3,0,1259#27#1#1,99846#0#154,995#940#851#25@7682846#166124#21229#113,
out_place_n2,2000000,3,0,1350#46#3#1,109753#0#247,1103#1044#942#70@8495264#185592#24230#298,
out_place_n8,1000000,3,0,603#11#1,10000#0#0,@,
out_place_n8,1100000,3,0,645#15#1,20000#0#0,24#24#24@706562#12259#354,
out_place_n8,1200000,3,0,716#13#1,30000#0#0,81#81#81@2164512#43345#1248,
out_place_n8,1300000,3,0,786#17#1,40000#0#0,137#137#137@3555626#76139#2244,
out_place_n8,1400000,3,0,825#23#1,50000#0#0,192#192#192@4986790#107213#3352,
out_place_n8,1500000,3,0,885#20#1,60000#0#0,239#239#239@6245329#131939#4364,
out_place_n8,1600000,3,0,978#19#1,70000#0#0,290#290#290@7666823#163071#5368,
out_place_n8,1700000,3,0,988#23#1,80000#0#0,337#336#336@8885510#189343#6414,
out_place_n8,1800000,3,0,1049#25#1,90000#0#0,397#395#395@10526117#223420#7827,
out_place_n8,1900000,3,0,1131#23#1,100000#0#0,435#433#433@11652296#248282#8683,
out_place_n8,2000000,3,0,1194#25#1,110000#0#0,488#486#486@13075563#281593#10086,
