name,data_size,seed,run,tree_shape,read_profile,split_history
out_place_n2,1200000,3,0,220#1,29877#0#123,226#209@6318475#41120,
out_place_n2,1300000,3,0,262#1,39623#0#377,345#319@9369567#68052,
out_place_n2,1400000,3,0,263#3#1,49537#0#463,473#433#76@12739759#93551#368,
out_place_n2,1500000,3,0,300#3#1,59487#0#513,600#546#150@16341254#120203#761,
out_place_n2,1600000,3,0,305#1#1,69443#0#557,724#661#225@19764486#149285#1117,
out_place_n2,1700000,3,0,349#1#1,79393#0#607,838#765#250@22960275#180706#1240,
out_place_n2,1800000,3,0,384#1#1,89320#0#680,962#883#250@26376104#223361#1240,
out_place_n2,1900000,3,0,397#1#1,99173#0#827,1087#997#250@29672437#267190#1240,
out_place_n2,2000000,3,0,418#4#1,109093#0#907,1210#1109#271@32789573#310489#1346,
out_place_n8,1000000,3,0,153#1,10000#0#0,@,
out_place_n8,1100000,3,0,184#1,20000#0#0,43#43@4258843#7353,
out_place_n8,1200000,3,0,200#1,30000#0#0,94#94@9299531#16839,
out_place_n8,1300000,3,0,203#1,40000#0#0,147#147@14671777#27183,
out_place_n8,1400000,3,0,206#1,50000#0#0,196#196@19842452#37345,
out_place_n8,1500000,3,0,235#1,60000#0#0,247#247@25179094#49233,
out_place_n8,1600000,3,0,230#1,70000#0#0,299#299@30516390#61777,
out_place_n8,1700000,3,0,282#1,80000#0#0,350#350@35930937#75036,
out_place_n8,1800000,3,0,297#1,90000#0#0,397#397@40746729#88768,
out_place_n8,1900000,3,0,299#1,100000#0#0,447#447@45909388#103555,
out_place_n8,2000000,3,0,323#1,110000#0#0,495#495@50846007#118600,
